Angle,9_nw,0_mw,20_mw,test
46.5,0.004932249,0.00550889,0.003471666,0.000416632
47.5,0.005204713,0.005576194,0.003625147,0.000435051
48.5,0.005095298,0.005686271,0.003828676,0.000459476
49.5,0.005127479,0.005774333,0.003883728,0.000466083
50.5,0.005239039,0.005815219,0.004005512,0.000480698
51.5,0.005151078,0.005836605,0.00409393,0.000491309
52.5,0.005387071,0.00591649,0.004324151,0.000518938
53.5,0.005567284,0.005974359,0.00485466,0.000582604
54.5,0.005696007,0.006136644,0.004978112,0.000597419
55.5,0.005835457,0.006069969,0.00520166,0.000624247
56.5,0.005916982,0.006208981,0.005580357,0.000669694
57.5,0.006215191,0.006301445,0.006070828,0.000728555
58.5,0.006384677,0.006191368,0.006235987,0.000748375
59.5,0.006614233,0.006325348,0.006339419,0.000760788
60.5,0.006893134,0.00618382,0.006846573,0.000821651
61.5,0.0071184,0.006275027,0.006864924,0.000823854
62.5,0.007410173,0.006392023,0.007261971,0.000871503
63.5,0.007766307,0.006442973,0.007593957,0.000911344
64.5,0.007802779,0.006368121,0.007852538,0.000942376
65.5,0.008081679,0.006424732,0.008618274,0.001034272
66.5,0.008081679,0.006468763,0.008925235,0.00107111
67.5,0.008414214,0.006471908,0.009452408,0.001134375
68.5,0.008521484,0.006560598,0.010024624,0.001203047
69.5,0.008600863,0.00653418,0.010139734,0.001216861
70.5,0.008959143,0.006531035,0.01110733,0.001332981
71.5,0.009437565,0.006726658,0.011182402,0.001341991
72.5,0.009662831,0.006626645,0.011816344,0.001418069
73.5,0.009986784,0.006768172,0.012683843,0.001522177
74.5,0.010250667,0.006726658,0.013474602,0.001617076
75.5,0.010233504,0.006777608,0.014235333,0.00170837
76.5,0.010424444,0.006790817,0.014482236,0.001738001
77.5,0.010394408,0.006893346,0.015244635,0.001829496
78.5,0.011117404,0.00687825,0.016123812,0.001935005
79.5,0.011261145,0.00695436,0.0164241,0.001971042
80.5,0.011346961,0.00702481,0.017221533,0.002066742
81.5,0.0115379,0.006914732,0.017955571,0.002154833
82.5,0.011552918,0.007039906,0.018803051,0.002256538
83.5,0.011488556,0.006878879,0.019518738,0.002342427
84.5,0.011904762,0.007005939,0.019909113,0.002389276
85.5,0.011791056,0.006906555,0.02006593,0.002408095
86.5,0.011705241,0.006737351,0.019929132,0.002391678
87.5,0.011934797,0.006727287,0.020269459,0.002432521
88.5,0.011921925,0.006627903,0.020211069,0.002425513
89.5,0.011956251,0.006704013,0.019638853,0.002356842
